,0
17-Jan,4.078157045178127
17-Feb,3.9426256431925495
17-Mar,3.8466915649241575
17-Apr,3.850048261845908
17-May,3.7007055983734998
17-Jun,3.807966469316428
17-Jul,3.8621461697193724
17-Aug,3.8467360105345025
17-Sep,3.7620343625861303
17-Oct,3.907904956227922
17-Nov,3.7888568048189772
18-Jan,3.9275774590198496
18-Feb,4.2350444931554385
18-Mar,4.050934131708882
18-Apr,3.9117721141269612
18-May,3.8022997382827843
18-Jun,3.59215769630286
18-Jul,3.820705511619398
18-Aug,4.030684359841662
18-Sep,3.6369264320939356
18-Oct,3.6249678029566983
18-Nov,3.8686803316237066
18-Dec,3.680845055748501
19-Jan,3.8578238992833604
19-Feb,4.086086945335308
19-Mar,4.039311860339096
19-Apr,3.910329027217012
19-May,3.463498179327023
19-Jun,3.5059988618723636
19-Jul,3.5383242051430663
19-Aug,3.7154591375669277
19-Sep,3.876522450356956
19-Oct,3.438419446402889
19-Nov,3.6840674651932943
19-Dec,3.5165968337514775
20-Jan,3.8427171756736924
20-Feb,3.627476017730255
20-Mar,3.9641412317855638
20-Jul,2.8158666102127183
20-Aug,2.669683552533296
20-Sep,2.725678809175047
20-Oct,2.562954290596014
20-Nov,2.838579205831566
20-Dec,2.852859559453089
21-Jan,3.476925547272228
21-Feb,3.420394184379946
21-Mar,3.2391173788923497
21-Apr,2.952184915432913
21-May,2.9536561492470463
21-Jun,3.0024918456480125
21-Jul,3.0474057943140647
21-Aug,3.0129119960666326
21-Sep,2.741783975251609
21-Oct,2.87118024277593
21-Nov,2.77330328568652
21-Dec,3.038427169491092
22-Jan,3.080394896419162
22-Feb,3.5884153384300097
22-Mar,3.3186056414239054
22-Apr,3.130572662962227
22-May,3.3511763896465854
22-Jun,3.1301359859029496
22-Jul,3.052308528951467
22-Aug,2.9251165626483866
22-Sep,2.610459188978369
22-Oct,2.564398897475543
22-Nov,2.6784391706903956
22-Dec,2.854637356962565
23-Jan,2.6085052459556195
23-Feb,3.050279487174926
23-Mar,2.6153215982175775
23-Apr,2.482486018386619
23-May,2.511178266987143
23-Jun,2.402857145543631
23-Jul,2.3712026779930637
23-Aug,2.4922509071959786
23-Sep,2.2144414045064296
23-Oct,2.511141946542724
23-Nov,2.3584892497119103
23-Dec,2.6281503181614347
24-Jan,2.2938686686645844
24-Feb,2.252389084865805
24-Mar,2.040403937289819
24-Apr,1.8544674962960699
24-May,1.8020535041490116
24-Jun,1.7715398984423216
24-Jul,1.7091643634080627
24-Aug,1.7363133969045077
